contrast,estimate,SE,df,t.ratio,p.value,Sig
fWY2000 - fWY2001,0.16205520313232613,0.09669740833516853,5326.620792262877,1.6759001706707293,0.9822815106810243,no
fWY2000 - fWY2002,0.07475715928148328,0.09570658086685947,5327.125328373696,0.7811078256518263,0.9999997235674772,no
fWY2000 - fWY2003,0.011284060161280963,0.09472474836174671,5327.709765549596,0.11912473093291294,1,no
fWY2000 - fWY2004,-0.1644710498052308,0.09479464848378498,5327.664821626573,-1.7350246288783302,0.9743932052265197,no
fWY2000 - fWY2007,0.3256969172309325,0.09576073641675178,5327.690481453394,3.401153013417691,0.07875382904954675,no
fWY2000 - fWY2009,0.09674212685437554,0.0956317759445001,5327.18086573358,1.0116106900547348,0.9999810361996833,no
fWY2000 - fWY2013,-0.15791883838946283,0.09472474836174673,5327.709765549596,-1.6671338918355592,0.9832648747630666,no
fWY2000 - fWY2018,0.04378525787272167,0.09576350277403407,5328.081264806103,0.45722281040657464,0.9999999999791862,no
fWY2001 - fWY2002,-0.08729804385084285,0.09309843768983972,5326.412222939723,-0.9376961205480047,0.9999943162594405,no
fWY2001 - fWY2003,-0.15077114297104516,0.09208889305973621,5326.942127967413,-1.6372348278010351,0.9862954410114029,no
fWY2001 - fWY2004,-0.32652625293755694,0.09217003541272643,5326.944750275987,-3.54265083522439,0.05048417768734048,no
fWY2001 - fWY2005,0.2604607410869061,0.09208889305973621,5326.942127967413,2.828362166520456,0.3364189427514169,no
fWY2001 - fWY2007,0.1636417140986064,0.09314159518742786,5326.934668485822,1.7569133722620047,0.9708633797165287,no
fWY2001 - fWY2008,0.2097361034057434,0.09208889305973621,5326.942127967413,2.2775396297758927,0.7503033175538075,no
fWY2001 - fWY2009,-0.06531307627795059,0.09302148158243824,5326.452838300025,-0.7021289616857834,0.9999999555582191,no
fWY2001 - fWY2013,-0.319974041521789,0.09208889305973621,5326.942127967413,-3.4746214325133464,0.06276359290198108,no
fWY2001 - fWY2017,0.2604607410869061,0.09208889305973621,5326.942127967413,2.828362166520456,0.3364189427514169,no
fWY2001 - fWY2018,-0.11826994525960446,0.09314373785139517,5327.347623086233,-1.2697573448071897,0.9994462795672587,no
fWY2001 - fWY2019,0.21354823655857175,0.09314373785139517,5327.347623086233,2.292674112985182,0.7398698587716235,no
fWY2002 - fWY2003,-0.06347309912020233,0.09092171840072216,5326.431566859029,-0.6981071215620379,0.9999999597717912,no
fWY2002 - fWY2004,-0.2392282090867141,0.09100328283381458,5326.433545910132,-2.6287865848046397,0.4826658476244041,no
fWY2002 - fWY2007,0.2509397579494492,0.09198169274802584,5326.42865105307,2.728148944126004,0.40729461258754285,no
fWY2002 - fWY2008,0.2970341472565862,0.09092171840072216,5326.431566859029,3.2669218365127928,0.11655102069747647,no
fWY2002 - fWY2009,0.021984967572892256,0.09197654701930111,5326.794205183533,0.23902797273177423,1,no
fWY2002 - fWY2013,-0.2326759976709461,0.09092171840072215,5326.431566859029,-2.5590805119351776,0.5372970911654429,no
fWY2002 - fWY2018,-0.030971901408761618,0.09198352376592532,5326.853381642064,-0.33671140374636255,1,no
fWY2002 - fWY2019,0.3008462804094146,0.09198352376592532,5326.853381642064,3.2706540051128274,0.11533435324052821,no
fWY2003 - fWY2004,-0.17575510996651178,0.08984294457801584,5326.002507720744,-1.9562483263657218,0.9196164263717803,no
fWY2003 - fWY2007,0.31441285706965155,0.09082821737028339,5326.000115857752,3.4616209166350895,0.06537630897368751,no
fWY2003 - fWY2009,0.08545806669309458,0.09083318546401235,5326.4584221739,0.9408242841703777,0.9999940034047758,no
fWY2003 - fWY2013,-0.1692028985507438,0.08976079772850194,5326.0000487884645,-1.8850422771701418,0.94226749220912,no
fWY2003 - fWY2018,0.03250119771144071,0.09082973202558324,5326.4358271415595,0.35782553781273263,1,no
fWY2004 - fWY2009,0.26121317665960636,0.0909147936568862,5326.4603618892315,2.8731647089848633,0.3068971599531818,no
fWY2004 - fWY2013,0.006552211415767978,0.08984294457801585,5326.002507720744,0.07292961563696648,1,no
fWY2004 - fWY2014,-0.27605648423640267,0.08984294457801585,5326.002507720744,-3.0726562395412893,0.19464712042155785,no
fWY2004 - fWY2018,0.20825630767795247,0.09091133663245085,5326.437880358868,2.2907627958427272,0.7411971420801834,no
fWY2005 - fWY2006,0.1804347826086964,0.08976079772850194,5326.0000487884645,2.01017356323475,0.8988838591251453,no
fWY2005 - fWY2007,-0.0968190269882997,0.09082821737028338,5326.000115857752,-1.0659575822521465,0.9999573552975123,no
fWY2005 - fWY2008,-0.0507246376811627,0.08976079772850193,5326.0000487884645,-0.5651090338411286,0.99999999903449,no
fWY2005 - fWY2010,0.19528985507246255,0.08976079772850193,5326.0000487884645,2.175669780288191,0.815436009501494,no
fWY2005 - fWY2012,0.1032608695652173,0.08976079772850194,5326.0000487884645,1.1504005331765077,0.99986576549994155,no
fWY2005 - fWY2017,0,0.08976079772850194,5326.0000487884645,0,1,no
fWY2005 - fWY2019,-0.04691250452833434,0.09082973202558323,5326.4358271415595,-0.5164884171971453,0.9999999998087806,no
fWY2006 - fWY2007,-0.2772538095969961,0.09082821737028339,5326.000115857752,-3.052507443438015,0.20449368362516607,no
fWY2006 - fWY2008,-0.23115942028985909,0.08976079772850194,5326.0000487884645,-2.575282597075878,0.5245313442891504,no
fWY2006 - fWY2010,0.014855072463766161,0.08976079772850194,5326.0000487884645,0.1654962170534409,1,no
fWY2006 - fWY2012,-0.07717391304347909,0.08976079772850194,5326.0000487884645,-0.8597730300582421,0.9999986208784729,no
fWY2006 - fWY2017,-0.1804347826086964,0.08976079772850194,5326.0000487884645,-2.01017356323475,0.8988838591251453,no
fWY2006 - fWY2019,-0.22734728713703073,0.09082973202558325,5326.4358271415595,-2.5030051511436335,0.5815367683645624,no
fWY2007 - fWY2008,0.046094389307136996,0.09082821737028338,5326.000115857752,0.5074897497902219,0.9999999998609912,no
fWY2007 - fWY2009,-0.22895479037655697,0.09189371836073709,5326.454896044722,-2.4915173143584664,0.5905767613795538,no
fWY2007 - fWY2010,0.29210888206076224,0.09082821737028338,5326.000115857752,3.2160587372304046,0.13415183410098463,no
fWY2007 - fWY2012,0.200079896553517,0.09082821737028339,5326.000115857752,2.2028385269067043,0.7989976897500739,no
fWY2007 - fWY2017,0.0968190269882997,0.09082821737028339,5326.000115857752,1.0659575822521465,0.9999573552975123,no
fWY2007 - fWY2018,-0.28191165935821083,0.09188989526842249,5326.429794027339,-3.0679288352077205,0.19692696495426,no
fWY2007 - fWY2019,0.04990652245996535,0.09188989526842249,5326.429794027339,0.5431121921967789,0.9999999995265383,no
fWY2008 - fWY2009,-0.27504917968369397,0.09083318546401235,5326.4584221739,-3.028069292942138,0.21689096839761357,no
fWY2008 - fWY2010,0.24601449275362525,0.08976079772850193,5326.0000487884645,2.7407788141293197,0.3980342914419275,no
fWY2008 - fWY2012,0.15398550724638,0.08976079772850194,5326.0000487884645,1.7155095670176361,0.9772515539696484,no
fWY2008 - fWY2017,0.0507246376811627,0.08976079772850194,5326.0000487884645,0.5651090338411285,0.99999999903449,no
fWY2008 - fWY2019,0.0038121331528283564,0.09082973202558323,5326.4358271415595,0.041970102386238745,1,no
fWY2009 - fWY2013,-0.25466096524383836,0.09083318546401237,5326.4584221739,-2.803611520865727,0.35333506892896993,no
fWY2009 - fWY2018,-0.052956868981653873,0.09189552538366039,5326.879727897923,-0.5762725525596695,0.999999998630053,no
fWY2009 - fWY2019,0.2788613128365223,0.09189552538366039,5326.879727897923,3.034547239077058,0.21355613278238894,no
fWY2010 - fWY2012,-0.09202898550724525,0.08976079772850194,5326.0000487884645,-1.025269247111683,0.9999766192656074,no
fWY2010 - fWY2017,-0.19528985507246255,0.08976079772850194,5326.0000487884645,-2.1756697802881906,0.8154360095014942,no
fWY2010 - fWY2019,-0.2422023596007969,0.09082973202558323,5326.4358271415595,-2.666553717593022,0.45356001350998576,no
fWY2012 - fWY2017,-0.1032608695652173,0.08976079772850196,5326.0000487884645,-1.1504005331765075,0.99986576549994155,no
fWY2012 - fWY2019,-0.15017337409355164,0.09082973202558324,5326.4358271415595,-1.6533504034918167,0.9847224004461578,no
fWY2013 - fWY2014,-0.2826086956521706,0.08976079772850194,5326.0000487884645,-3.1484646171146187,0.160606105259384,no
fWY2013 - fWY2018,0.2017040962621845,0.09082973202558324,5326.4358271415595,2.220683599565968,0.7878164455708283,no
fWY2014 - fWY2016,-0.09311594202898155,0.08976079772850196,5326.0000487884645,-1.0373787264082461,0.9999719417568815,no
fWY2017 - fWY2019,-0.04691250452833434,0.09082973202558324,5326.4358271415595,-0.5164884171971452,0.9999999998087806,no
fWY2000 - fWY2005,0.4225159442192322,0.09472474836174671,5327.709765549596,4.460459927596487,0.0014186331039354183,yes
fWY2000 - fWY2006,0.6029507268279286,0.09472474836174673,5327.709765549596,6.365292463225185,4.0002623880042165e-8,yes
fWY2000 - fWY2008,0.3717913065380695,0.09472474836174671,5327.709765549596,3.9249648372590697,0.013075419597729177,yes
fWY2000 - fWY2010,0.6178057992916948,0.09472474836174671,5327.709765549596,6.522116025395398,1.4353909061348702e-8,yes
fWY2000 - fWY2011,1.0301246398714055,0.09472474836174671,5327.709765549596,10.874926116852132,0,yes
fWY2000 - fWY2012,0.5257768137844495,0.09472474836174671,5327.709765549596,5.550574932926159,5.575004846769538e-6,yes
fWY2000 - fWY2014,-0.4405275340416335,0.09472474836174671,5327.709765549596,-4.650606538000944,5.929220277601788e-4,yes
fWY2000 - fWY2015,-1.3879913021575823,0.09472474836174673,5327.709765549596,-14.652889832517129,0,yes
fWY2000 - fWY2016,-0.533643476070615,0.09472474836174671,5327.709765549596,-5.633622525263098,3.4735415076481146e-6,yes
fWY2000 - fWY2017,0.4225159442192322,0.09472474836174673,5327.709765549596,4.460459927596487,0.0014186331039354183,yes
fWY2000 - fWY2019,0.3756034396908979,0.09576350277403407,5328.081264806103,3.9221982155057655,0.013213630859067793,yes
fWY2001 - fWY2006,0.4408955236956025,0.09208889305973621,5326.942127967413,4.787716618654569,3.0809914457707865e-4,yes
fWY2001 - fWY2010,0.45575059615936864,0.09208889305973621,5326.942127967413,4.949028932986874,1.3887165500892085e-4,yes
fWY2001 - fWY2011,0.8680694367390793,0.09208889305973621,5326.942127967413,9.426429267381684,1.5087930904655877e-13,yes
fWY2001 - fWY2012,0.3637216106521234,0.09208889305973621,5326.942127967413,3.949679473464672,0.011897644283358155,yes
fWY2001 - fWY2014,-0.6025827371739596,0.09208889305973621,5326.942127967413,-6.543489851518536,1.246118486175618e-8,yes
fWY2001 - fWY2015,-1.5500465052899084,0.09208889305973622,5326.942127967413,-16.832067948568177,0,yes
fWY2001 - fWY2016,-0.6956986792029412,0.09208889305973621,5326.942127967413,-7.554642651113804,9.423906099925716e-12,yes
fWY2002 - fWY2005,0.3477587849377489,0.09092171840072215,5326.431566859029,3.824815358252037,0.019005458722019752,yes
fWY2002 - fWY2006,0.5281935675464453,0.09092171840072215,5326.431566859029,5.809322314152942,1.2478748412370066e-6,yes
fWY2002 - fWY2010,0.5430486400102115,0.09092171840072215,5326.431566859029,5.972705416947974,4.6857463764649054e-7,yes
fWY2002 - fWY2011,0.9553674805899222,0.09092171840072215,5326.431566859029,10.507582757942398,0,yes
fWY2002 - fWY2012,0.4510196545029662,0.09092171840072216,5326.431566859029,4.960527170363994,1.3106189791478595e-4,yes
fWY2002 - fWY2014,-0.5152846933231168,0.09092171840072216,5326.431566859029,-5.667344418767871,2.8607781330514115e-6,yes
fWY2002 - fWY2015,-1.4627484614390656,0.09092171840072215,5326.431566859029,-16.08799841411101,0,yes
fWY2002 - fWY2016,-0.6084006353520983,0.09092171840072216,5326.431566859029,-6.691477526531944,4.619055249399651e-9,yes
fWY2002 - fWY2017,0.3477587849377489,0.09092171840072215,5326.431566859029,3.824815358252037,0.019005458722019752,yes
fWY2003 - fWY2005,0.41123188405795125,0.08976079772850194,5326.0000487884645,4.58141966721149,8.183839764628331e-4,yes
fWY2003 - fWY2006,0.5916666666666477,0.08976079772850194,5326.0000487884645,6.59159323044624,9.046980276039562e-9,yes
fWY2003 - fWY2008,0.36050724637678855,0.08976079772850194,5326.0000487884645,4.016310633370361,0.00918692911265473,yes
fWY2003 - fWY2010,0.6065217391304139,0.08976079772850193,5326.0000487884645,6.757089447499682,2.9561391112764568e-9,yes
fWY2003 - fWY2011,1.0188405797101245,0.08976079772850194,5326.0000487884645,11.350618594007992,0,yes
fWY2003 - fWY2012,0.5144927536231686,0.08976079772850194,5326.0000487884645,5.7318202003879986,1.9676215894381954e-6,yes
fWY2003 - fWY2014,-0.45181159420291445,0.08976079772850194,5326.0000487884645,-5.033506894284761,9.046531750156461e-5,yes
fWY2003 - fWY2015,-1.3992753623188632,0.08976079772850194,5326.0000487884645,-15.588936347816661,0,yes
fWY2003 - fWY2016,-0.5449275362318959,0.08976079772850194,5326.0000487884645,-6.070885620693007,2.568384428469628e-7,yes
fWY2003 - fWY2017,0.41123188405795125,0.08976079772850194,5326.0000487884645,4.58141966721149,8.183839764628331e-4,yes
fWY2003 - fWY2019,0.3643193795296169,0.09082973202558323,5326.4358271415595,4.0110145808533515,0.009379696293321915,yes
fWY2004 - fWY2005,0.586986994024463,0.08984294457801584,5326.002507720744,6.53347902588776,1.3314551350340764e-8,yes
fWY2004 - fWY2006,0.7674217766331595,0.08984294457801585,5326.002507720744,8.541814610347755,0,yes
fWY2004 - fWY2007,0.49016796703616333,0.09090980100325405,5326.00264179236,5.391805521811869,1.3508971829057081e-5,yes
fWY2004 - fWY2008,0.5362623563433003,0.08984294457801584,5326.002507720744,5.968886692907005,4.795731366469269e-7,yes
fWY2004 - fWY2010,0.7822768490969256,0.08984294457801584,5326.002507720744,8.707159507863517,0,yes
fWY2004 - fWY2011,1.1945956896766363,0.08984294457801584,5326.002507720744,13.296488614521083,0,yes
fWY2004 - fWY2012,0.6902478635896803,0.08984294457801585,5326.002507720744,7.682827703741365,2.045807967476776e-12,yes
fWY2004 - fWY2015,-1.2235202523523514,0.08984294457801585,5326.002507720744,-13.618434459145512,0,yes
fWY2004 - fWY2016,-0.3691724262653842,0.08984294457801585,5326.002507720744,-4.109086450798708,0.006347435722453554,yes
fWY2004 - fWY2017,0.586986994024463,0.08984294457801585,5326.002507720744,6.533479025887759,1.3314551350340764e-8,yes
fWY2004 - fWY2019,0.5400744894961287,0.09091133663245084,5326.437880358868,5.940672632277072,5.68962345792734e-7,yes
fWY2005 - fWY2009,-0.32577381736485667,0.09083318546401235,5326.4584221739,-3.5865065801741216,0.04370824846067589,yes
fWY2005 - fWY2011,0.6076086956521732,0.08976079772850194,5326.0000487884645,6.769198926796502,2.7209885455903304e-9,yes
fWY2005 - fWY2013,-0.5804347826086951,0.08976079772850194,5326.0000487884645,-6.466461944381632,2.0708522452395073e-8,yes
fWY2005 - fWY2014,-0.8630434782608657,0.08976079772850194,5326.0000487884645,-9.614926561496251,0,yes
fWY2005 - fWY2015,-1.8105072463768144,0.08976079772850194,5326.0000487884645,-20.17035601502815,0,yes
fWY2005 - fWY2016,-0.9561594202898472,0.08976079772850194,5326.0000487884645,-10.652305287904497,0,yes
fWY2005 - fWY2018,-0.3787306863465105,0.09082973202558323,5326.4358271415595,-4.1696774602377635,0.004955999816483425,yes
fWY2006 - fWY2009,-0.506208599973553,0.09083318546401235,5326.4584221739,-5.572947787613486,4.9112609110668615e-6,yes
fWY2006 - fWY2011,0.42717391304347685,0.08976079772850194,5326.0000487884645,4.7590253635617525,3.539503661783572e-4,yes
fWY2006 - fWY2013,-0.7608695652173915,0.08976079772850194,5326.0000487884645,-8.476635507616383,0,yes
fWY2006 - fWY2014,-1.043478260869562,0.08976079772850194,5326.0000487884645,-11.625100124731,0,yes
fWY2006 - fWY2015,-1.9909420289855109,0.08976079772850196,5326.0000487884645,-22.1805295782629,0,yes
fWY2006 - fWY2016,-1.1365942028985436,0.08976079772850197,5326.0000487884645,-12.662478851139243,0,yes
fWY2006 - fWY2018,-0.5591654689552069,0.09082973202558324,5326.4358271415595,-6.156194194184251,1.5115735052528834e-7,yes
fWY2007 - fWY2011,0.7044277226404729,0.09082821737028339,5326.000115857752,7.755604403956332,1.3172796187177482e-12,yes
fWY2007 - fWY2013,-0.4836157556203954,0.09082821737028339,5326.000115857752,-5.3245100434903145,1.9505718811707595e-5,yes
fWY2007 - fWY2014,-0.766224451272566,0.09082821737028339,5326.000115857752,-8.435973681492229,0,yes
fWY2007 - fWY2015,-1.7136882193885148,0.09082821737028339,5326.000115857752,-18.86735498069115,0,yes
fWY2007 - fWY2016,-0.8593403933015475,0.09082821737028339,5326.000115857752,-9.461161059654367,0,yes
fWY2008 - fWY2011,0.6583333333333359,0.08976079772850194,5326.0000487884645,7.33430796063763,4.799538544375537e-11,yes
fWY2008 - fWY2013,-0.5297101449275323,0.08976079772850194,5326.0000487884645,-5.901352910540503,7.210545710512051e-7,yes
fWY2008 - fWY2014,-0.812318840579703,0.08976079772850194,5326.0000487884645,-9.049817527655124,0,yes
fWY2008 - fWY2015,-1.7597826086956518,0.08976079772850194,5326.0000487884645,-19.605246981187026,0,yes
fWY2008 - fWY2016,-0.9054347826086846,0.08976079772850194,5326.0000487884645,-10.08719625406337,0,yes
fWY2008 - fWY2018,-0.3280060486653479,0.09082973202558324,5326.4358271415595,-3.6112189406543798,0.040247285983096126,yes
fWY2009 - fWY2010,0.5210636724373192,0.09083318546401235,5326.4584221739,5.736490136017106,1.914676675540683e-6,yes
fWY2009 - fWY2011,0.9333825130170299,0.09083318546401235,5326.4584221739,10.275787513659656,0,yes
fWY2009 - fWY2012,0.42903468693007396,0.09083318546401235,5326.4584221739,4.723325343467728,4.201000878436556e-4,yes
fWY2009 - fWY2014,-0.537269660896009,0.09083318546401235,5326.4584221739,-5.914904978300828,6.646272210364401e-7,yes
fWY2009 - fWY2015,-1.4847334290119578,0.09083318546401237,5326.4584221739,-16.34571573624049,0,yes
fWY2009 - fWY2016,-0.6303856029249906,0.09083318546401237,5326.4584221739,-6.940036284148,8.273493001809129e-10,yes
fWY2009 - fWY2017,0.32577381736485667,0.09083318546401237,5326.4584221739,3.5865065801741207,0.04370824846067556,yes
fWY2010 - fWY2011,0.4123188405797107,0.08976079772850194,5326.0000487884645,4.5935291465083115,7.738077265753152e-4,yes
fWY2010 - fWY2013,-0.7757246376811576,0.08976079772850194,5326.0000487884645,-8.642131724669824,0,yes
fWY2010 - fWY2014,-1.0583333333333282,0.08976079772850194,5326.0000487884645,-11.790596341784441,0,yes
fWY2010 - fWY2015,-2.005797101449277,0.08976079772850194,5326.0000487884645,-22.34602579531634,0,yes
fWY2010 - fWY2016,-1.1514492753623098,0.08976079772850194,5326.0000487884645,-12.827975068192687,0,yes
fWY2010 - fWY2018,-0.5740205414189731,0.09082973202558323,5326.4358271415595,-6.31974276063364,5.3631907803719514e-8,yes
fWY2011 - fWY2012,-0.5043478260869559,0.08976079772850194,5326.0000487884645,-5.618798393619994,3.7816192436368468e-6,yes
fWY2011 - fWY2013,-1.1880434782608682,0.08976079772850194,5326.0000487884645,-13.235660871178133,0,yes
fWY2011 - fWY2014,-1.470652173913039,0.08976079772850194,5326.0000487884645,-16.384125488292753,0,yes
fWY2011 - fWY2015,-2.4181159420289875,0.08976079772850194,5326.0000487884645,-26.939554941824653,0,yes
fWY2011 - fWY2016,-1.5637681159420205,0.08976079772850194,5326.0000487884645,-17.421504214701,0,yes
fWY2011 - fWY2017,-0.6076086956521732,0.08976079772850196,5326.0000487884645,-6.769198926796501,2.7209885455903304e-9,yes
fWY2011 - fWY2018,-0.9863393819986838,0.09082973202558324,5326.4358271415595,-10.859212726961145,0,yes
fWY2011 - fWY2019,-0.6545212001805076,0.09082973202558324,5326.4358271415595,-7.206023683920527,1.21417320642081e-10,yes
fWY2012 - fWY2013,-0.6836956521739124,0.08976079772850194,5326.0000487884645,-7.61686247755814,5.112466006096383e-12,yes
fWY2012 - fWY2014,-0.966304347826083,0.08976079772850194,5326.0000487884645,-10.76532709467276,0,yes
fWY2012 - fWY2015,-1.9137681159420317,0.08976079772850194,5326.0000487884645,-21.32075654820466,0,yes
fWY2012 - fWY2016,-1.0594202898550646,0.08976079772850194,5326.0000487884645,-11.802705821081005,0,yes
fWY2012 - fWY2018,-0.4819915559117278,0.09082973202558324,5326.4358271415595,-5.306539446532434,2.1499139660874356e-5,yes
fWY2013 - fWY2015,-1.2300724637681195,0.08976079772850196,5326.0000487884645,-13.70389407064652,0,yes
fWY2013 - fWY2016,-0.37572463768115216,0.08976079772850197,5326.0000487884645,-4.185843343522864,0.004635723745999187,yes
fWY2013 - fWY2017,0.5804347826086951,0.08976079772850194,5326.0000487884645,6.466461944381632,2.0708522452395073e-8,yes
fWY2013 - fWY2019,0.5335222780803607,0.09082973202558325,5326.4358271415595,5.873872642606585,8.501080083211932e-7,yes
fWY2014 - fWY2015,-0.9474637681159488,0.08976079772850194,5326.0000487884645,-10.555429453531902,0,yes
fWY2014 - fWY2017,0.8630434782608657,0.08976079772850196,5326.0000487884645,9.61492656149625,0,yes
fWY2014 - fWY2018,0.48431279191435517,0.09082973202558325,5326.4358271415595,5.332095351530299,1.8718844436049764e-5,yes
fWY2014 - fWY2019,0.8161309737325313,0.09082973202558324,5326.4358271415595,8.985284394570916,0,yes
fWY2015 - fWY2016,0.8543478260869672,0.08976079772850197,5326.0000487884645,9.518050727123653,0,yes
fWY2015 - fWY2017,1.8105072463768144,0.08976079772850194,5326.0000487884645,20.17035601502815,0,yes
fWY2015 - fWY2018,1.4317765600303038,0.09082973202558324,5326.4358271415595,15.763302699462193,0,yes
fWY2015 - fWY2019,1.76359474184848,0.09082973202558325,5326.4358271415595,19.416491742502807,0,yes
fWY2016 - fWY2017,0.9561594202898472,0.08976079772850196,5326.0000487884645,10.652305287904495,0,yes
fWY2016 - fWY2018,0.5774287339433367,0.09082973202558324,5326.4358271415595,6.357265633908259,4.2129059241169386e-8,yes
fWY2016 - fWY2019,0.9092469157615128,0.09082973202558325,5326.4358271415595,10.010454676948875,0,yes
fWY2017 - fWY2018,-0.3787306863465105,0.09082973202558325,5326.4358271415595,-4.169677460237763,0.004955999816483647,yes
fWY2018 - fWY2019,0.33181818181817624,0.09177814619151198,5326.000048790561,3.615437831199778,0.03968082799429806,yes
