"","contrast","estimate","SE","df","t.ratio","p.value","sig"
"1","fWY2011 - fWY2015",-2.27888605736741,0.0515836622991224,8513.09290244766,-44.1784463490135,0,"yes"
"2","fWY2012 - fWY2015",-1.79232905859513,0.0509976981936598,8509.2026511943,-35.1452932598821,3.86429584271703e-251,"yes"
"3","fWY2010 - fWY2015",-1.94124533132105,0.0562120449996523,8533.14748612376,-34.5343303438447,4.37649693128871e-243,"yes"
"4","fWY2015 - fWY2019",1.58589503070891,0.0517830872936281,8514.77661697846,30.6257334893212,7.54195399766824e-194,"yes"
"5","fWY2015 - fWY2017",1.54733334185889,0.0511880089253359,8510.80255791073,30.2284338528554,4.18893637458701e-189,"yes"
"6","fWY2011 - fWY2016",-1.54215409147015,0.0514094825612339,8511.9602740475,-29.9974637876055,2.25750735946621e-186,"yes"
"7","fWY2011 - fWY2014",-1.45232670370041,0.0514094903310041,8511.96113087703,-28.2501673202649,2.97506105359806e-166,"yes"
"8","fWY2015 - fWY2018",1.32679826072785,0.0512319019656117,8510.83187107294,25.8978919349595,9.34972119759109e-141,"yes"
"9","fWY2011 - fWY2013",-1.16250552133225,0.0516128514589642,8513.09822889503,-22.5235670665576,1.62381430973237e-107,"yes"
"10","fWY2013 - fWY2015",-1.11638053603516,0.0512152105416829,8510.52431919213,-21.7978316251685,6.7355680889866e-101,"yes"
"11","fWY2010 - fWY2016",-1.20451336542379,0.0560408228488785,8531.92469479182,-21.4934989208121,3.462268717928e-98,"yes"
"12","fWY2012 - fWY2016",-1.05559709269787,0.0508232853295807,8508.00977141777,-20.7699499521232,7.40687789830039e-92,"yes"
"13","fWY2010 - fWY2014",-1.11468597765405,0.0560372568309395,8531.72211413035,-19.8918726699449,1.88751206563035e-84,"yes"
"14","fWY2012 - fWY2014",-0.965769704928129,0.0508232937138826,8508.0112068999,-19.0025013011765,3.10228046478954e-77,"yes"
"15","fWY2011 - fWY2018",-0.952087796639561,0.0516296121515571,8513.47599201664,-18.4407311417474,7.76323052420575e-73,"yes"
"16","fWY2016 - fWY2019",0.849163064811647,0.0516093348061955,8513.55482042927,16.4536719568358,2.96888259686561e-58,"yes"
"17","fWY2014 - fWY2015",-0.826559353667005,0.0510119622510191,8509.21049566024,-16.2032456152084,1.58990532439485e-56,"yes"
"18","fWY2016 - fWY2017",0.810601375961626,0.0510138883212636,8509.48905370683,15.8898175112002,2.13604115600275e-54,"yes"
"19","fWY2014 - fWY2019",0.759335677041905,0.0516093649622176,8513.55598958403,14.7131373850037,9.36137829486533e-47,"yes"
"20","fWY2010 - fWY2013",-0.824864795285898,0.0562370545436086,8533.03905331095,-14.6676386588893,1.79649947489137e-46,"yes"
"21","fWY2015 - fWY2016",0.736731965897263,0.0510119485281256,8509.20854359757,14.4423411995537,4.48825594432949e-45,"yes"
"22","fWY2011 - fWY2017",-0.731552715508522,0.051585601520072,8513.35554232441,-14.1813353717291,1.75246627505454e-43,"yes"
"23","fWY2014 - fWY2017",0.720773988191884,0.0510138967004691,8509.49018100236,14.1289733741366,3.63014081119933e-43,"yes"
"24","fWY2011 - fWY2019",-0.692991026658501,0.0521803858235886,8517.38433909724,-13.2806803882471,3.35303984825009e-38,"yes"
"25","fWY2012 - fWY2013",-0.675948522559977,0.0510269234348645,8509.21041608177,-13.2468994220829,5.21837037023603e-38,"yes"
"26","fWY2016 - fWY2018",0.590066294830587,0.0510578263178316,8509.52202826751,11.5568236524106,5.19414895617167e-29,"yes"
"27","fWY2010 - fWY2018",-0.614447070593204,0.0562544435835484,8533.51273002393,-10.9226406209251,6.15367246275765e-26,"yes"
"28","fWY2014 - fWY2018",0.500238907060845,0.0510578604113539,8509.52562899942,9.79749059264547,6.8327549192183e-21,"yes"
"29","fWY2011 - fWY2012",-0.486556998772277,0.051395238588069,8511.95464164379,-9.4669664377281,1.64719102375314e-19,"yes"
"30","fWY2012 - fWY2018",-0.465530797867283,0.0510435674580018,8509.51587787759,-9.12026374822484,4.14708607665e-18,"yes"
"31","fWY2013 - fWY2019",0.469514494673753,0.0518122087867796,8514.81241471083,9.06185058826433,7.05987529565005e-18,"yes"
"32","fWY2013 - fWY2017",0.430952805823733,0.0512172035074511,8510.82150483228,8.41421976037871,2.06899629639311e-15,"yes"
"33","fWY2013 - fWY2016",-0.379648570137893,0.0510409414535234,8509.20298642127,-7.43811848540434,5.04251437608956e-12,"yes"
"34","fWY2010 - fWY2017",-0.393911989462165,0.0561655152379581,8530.49826706921,-7.01341361853918,1.12637975819463e-10,"yes"
"35","fWY2010 - fWY2019",-0.355350300612144,0.0567492441247771,8535.27042059117,-6.26176270878287,1.79564227474146e-08,"yes"
"36","fWY2010 - fWY2011",0.337640726046356,0.0564474661026693,8530.41830607372,5.98150367692749,1.03495555550073e-07,"yes"
"37","fWY2013 - fWY2014",-0.289821182368152,0.0510411575130642,8509.21823274728,-5.6781859285611,6.32717970563843e-07,"yes"
"38","fWY2018 - fWY2019",0.25909676998106,0.0517823596507702,8511.56972132136,5.00357209923334,2.58318745439658e-05,"yes"
"39","fWY2012 - fWY2017",-0.244995716736244,0.0509996323286973,8509.48270675362,-4.80387221533725,7.12289451641057e-05,"yes"
"40","fWY2017 - fWY2018",-0.220535081131039,0.0512339102463606,8511.13093973806,-4.30447490871936,0.000761655186665057,"yes"
"41","fWY2013 - fWY2018",0.210417724692694,0.0512611091698743,8510.85144530374,4.1048219225103,0.00183782756589041,"yes"
"42","fWY2012 - fWY2019",-0.206434027886224,0.0515951380867412,8513.53150110544,-4.00103644531717,0.00286199546166032,"yes"
"43","fWY2010 - fWY2012",-0.148916272725921,0.056026893971247,8531.87223893417,-2.65794268021255,0.354446291141722,"no"
"44","fWY2014 - fWY2016",-0.0898273877697418,0.050837561569706,8508.01790569087,-1.76694918080551,1,"no"
"45","fWY2017 - fWY2019",0.0385616888500207,0.0517852457381509,8515.07468843055,0.744646246249475,1,"no"
