contrast,estimate,SE,df,t.ratio,p.value,sig
Central Dry - SuisunBay Dry,2.349736178129482,0.1281788044821013,94.80729695638315,18.33170614770085,4.140488523925419e-31,yes
Central Dry - SuisunMarsh Dry,2.056765377144968,0.11370653593931594,96.3007412571061,18.088365458979805,6.49108879145525e-31,yes
Central Dry - Confluence Dry,1.3119746920726059,0.09448215908667587,96.5128499279185,13.88595164161129,6.379152919117781e-23,yes
South Dry - SuisunBay Dry,1.6320168012082688,0.13792082326913063,94.92981649479415,11.832997820957367,1.4460298697888953e-18,yes
Central Dry - NorthDelta Dry,1.3943861295489326,0.12346287272919212,98.813006557012,11.293971205476717,1.1428491626828512e-17,yes
South Dry - SuisunMarsh Dry,1.339046000223755,0.12458601161725284,96.20350677691629,10.747964260526356,2.389027845020517e-16,yes
Confluence Dry - SuisunBay Dry,1.037761486056876,0.12822175040917927,94.93499040234678,8.093490244402277,1.266882346922573e-10,yes
Central Dry - South Dry,0.717719376921213,0.10727344549753456,96.1367493861415,6.690559565719441,9.73698447283524e-8,yes
Confluence Dry - SuisunMarsh Dry,0.7447906850723621,0.11375868752333956,96.47762132703626,6.547110390312436,1.87534911622356e-7,yes
NorthDelta Dry - SuisunBay Dry,0.9553500485805493,0.150873361851863,96.92106055621187,6.33213204010508,4.984368424048902e-7,yes
Central Wet - NorthDelta Wet,0.7498669923992367,0.11855518181769141,84.03427404220712,6.325046116941113,7.731325863339943e-7,yes
Confluence Dry - South Dry,-0.5942553151513928,0.10732799230100636,96.3326554446304,-5.536815721706375,1.7561541834467305e-5,yes
Central Wet - Confluence Wet,0.47829619125281775,0.09083364902755549,82.4638185554917,5.265627841370997,7.197312807525104e-5,yes
Central Wet - SuisunMarsh Wet,0.5653396111372458,0.1093435466621831,82.36657791304211,5.1703061442104365,1.0613524774006058e-4,yes
NorthDelta Dry - South Dry,-0.6766667526277196,0.1335534335817575,98.36395927901634,-5.06663688443086,1.2524590327856258e-4,yes
NorthDelta Dry - SuisunMarsh Dry,0.6623792475960354,0.13877039100484756,98.30162993910602,4.773203006777555,4.17041780320262e-4,yes
NorthDelta Wet - Central Dry,-9.333868598180176,1.6095103642989164,10.10797444714144,-5.799197572887888,0.010961481302777019,no
NorthDelta Wet - South Wet,-0.5031369655437492,0.1282728368819502,83.72509948238344,-3.9223968049197144,0.01180491528921524,no
SuisunMarsh Wet - Central Dry,-9.149341216918184,1.6088580322407404,10.09160710572441,-5.686854298869006,0.012878000464910276,no
Confluence Wet - Central Dry,-9.062297797033757,1.607706089087945,10.062749498958938,-5.6367876308628135,0.013953213077590619,no
SuisunBay Wet - Central Dry,-8.954838218610893,1.609870220917823,10.117010197149897,-5.5624596953570205,0.01517881500981724,no
South Wet - Central Dry,-8.830731632636427,1.6084485632135694,10.081342857876104,-5.490216992076659,0.01702018479709095,no
NorthDelta Wet - South Dry,-8.616149221258963,1.6103158216590268,10.128209794021213,-5.350595892662957,0.020434431679902804,no
Central Wet - Central Dry,-8.584001605780939,1.6056618740924073,10.011680276795518,-5.346082973186995,0.021392317750809062,no
SuisunMarsh Wet - South Dry,-8.431621839996971,1.6096635241557231,10.111820523866351,-5.238126921226845,0.024169597349139586,no
Confluence Wet - South Dry,-8.344578420112544,1.6085121347426306,10.082936755930454,-5.18776218088508,0.02624898296769497,no
SuisunBay Wet - South Dry,-8.23711884168968,1.6106751614682298,10.137244876656727,-5.114078269004309,0.02874189531313543,no
South Wet - South Dry,-8.113012255715214,1.6060255115480557,10.02075280896824,-5.0516085811706954,0.03266315883418759,no
NorthDelta Wet - Confluence Dry,-8.02189390610757,1.6095146218149712,10.108081378465272,-4.984045374537618,0.035151477623236664,no
NorthDelta Wet - NorthDelta Dry,-7.939482468631243,1.6066305860360321,10.03586270488492,-4.941697573566039,0.038247339602335284,no
Central Wet - South Dry,-7.866282228859726,1.6085091652508352,10.082862307473384,-4.89041803354166,0.04072566730755802,no
SuisunMarsh Wet - Confluence Dry,-7.837366524845579,1.608861713897715,10.091699488490086,-4.871373628413565,0.041799599871699074,no
SuisunMarsh Wet - NorthDelta Dry,-7.754955087369252,1.6108234784933826,10.140979369661892,-4.814279895288421,0.04492895610910516,no
Confluence Wet - Confluence Dry,-7.750323104961151,1.6056684133840708,10.011843374617193,-4.826851571817834,0.04571906220060161,no
Confluence Wet - NorthDelta Dry,-7.667911667484824,1.6096735082897413,10.112073291766968,-4.763644073158592,0.04890762855862917,no
SuisunBay Wet - Confluence Dry,-7.642863526538287,1.6098736408667176,10.117096190419183,-4.747492804729414,0.050055121033394094,no
SuisunBay Wet - NorthDelta Dry,-7.56045208906196,1.6118359387965,10.166475301325896,-4.69058413892116,0.053884639543618155,no
South Wet - Confluence Dry,-7.51875694056382,1.6084522079655705,10.081434246730597,-4.674529279346024,0.056490370450526094,no
South Wet - NorthDelta Dry,-7.436345503087494,1.6104147477226771,10.130698810767466,-4.61765859608737,0.060853451696432886,no
NorthDelta Wet - SuisunMarsh Dry,-7.277103221035207,1.6107568901692215,10.139302663529568,-4.517815981697086,0.07088265302581744,no
Central Wet - Confluence Dry,-7.272026913708333,1.6077067628936492,10.062766388359844,-4.523229659505626,0.07164577031577327,no
Central Wet - NorthDelta Dry,-7.189615476232007,1.6096698629173845,10.111981730209472,-4.466515551953904,0.07730464682403326,no
SuisunMarsh Wet - SuisunMarsh Dry,-7.092575839773216,1.6062318659953714,10.02590396512893,-4.415661269039756,0.08545473550361488,no
Confluence Wet - SuisunMarsh Dry,-7.005532419888789,1.6089540170349894,10.094015585943836,-4.354091133566834,0.09260822321035558,no
NorthDelta Wet - SuisunBay Dry,-6.984132420050694,1.611844683450024,10.166695958691996,-4.333005835960398,0.09415404562405885,no
SuisunBay Wet - SuisunMarsh Dry,-6.8980728414659245,1.6111165553744415,10.14835267429054,-4.281547985125592,0.10259763095740407,no
SuisunMarsh Wet - SuisunBay Dry,-6.799605038788703,1.6111918522366901,10.150249982875655,-4.220233009091592,0.11309160094676005,no
South Wet - SuisunMarsh Dry,-6.773966255491459,1.6096958884944341,10.112633786892555,-4.208227345245456,0.11622979148309787,no
Confluence Wet - SuisunBay Dry,-6.7125616189042745,1.610041242882958,10.12130995758391,-4.169186130216569,0.12349147643760368,no
SuisunBay Wet - SuisunBay Dry,-6.605102040481411,1.6066748351784739,10.036968364030201,-4.1110384602169345,0.13799104083714037,no
Central Wet - SuisunMarsh Dry,-6.527236228635971,1.6089509925978116,10.09393969980005,-4.056827248726264,0.1488095054104817,no
South Wet - SuisunBay Dry,-6.480995454506944,1.6107828372132718,10.13995590266395,-4.023506648307331,0.15561906431477837,no
Central Wet - SuisunBay Dry,-6.234265427651457,1.6100385098372694,10.121241230491895,-3.8721219334570884,0.1999617472687699,no
Central Wet - SuisunBay Wet,0.37083661282995384,0.12334525222418045,81.31072518620167,3.0064928008413077,0.2319763602627491,no
South Wet - SuisunMarsh Wet,0.31860958428175834,0.11980637372603896,82.28505049555345,2.659370903006566,0.6208620831750662,no
NorthDelta Wet - SuisunBay Wet,-0.37903037956928287,0.1450287269935119,82.77060272435304,-2.613484841428963,0.7024976771633454,no
Central Wet - South Wet,0.24673002685548748,0.10314378170371516,82.18305444040467,2.3920979314509703,1,no
Confluence Wet - NorthDelta Wet,0.27157080114641896,0.11860455513892801,84.17303014293196,2.2897164516852935,1,no
Confluence Wet - South Wet,-0.23156616439733027,0.10319020351591933,82.33066873582862,-2.2440712054764593,1,no
Confluence Wet - SuisunBay Wet,-0.10745957842286391,0.12338092182905655,81.40486601233141,-0.8709578177066017,1,no
Confluence Wet - SuisunMarsh Wet,0.0870434198844281,0.10938797437727789,82.50007438862978,0.7957311613086127,1,no
NorthDelta Wet - SuisunMarsh Wet,-0.18452738126199086,0.13330621337037593,83.72891234474969,-1.3842369128684409,1,no
South Wet - SuisunBay Wet,0.12410658597446636,0.13270793777364814,81.38618600132156,0.9351858529076642,1,no
SuisunBay Wet - SuisunMarsh Wet,0.194502998307292,0.13758354843933637,81.55947802433201,1.413708255918786,1,no
Confluence Dry - NorthDelta Dry,0.08241143747632673,0.12351845022609458,98.98996898821287,0.6671994129255716,1,no
SuisunBay Dry - SuisunMarsh Dry,-0.2929708009845139,0.1429833302245952,95.11932414384235,-2.04898571409913,1,no
