Station,StationName,Region,Latitude,Longitude,first,last
ANC,ANTIOCH (USBR),Confluence,38.017817,-121.802965,2009-10-01,2017-09-30
ANH,SAN JOAQUIN RIVER AT ANTIOCH,Confluence,38.0178299,-121.8029633,2009-10-01,2019-09-30
BAC,BACON ISLAND AT OLD RIVER,Central,37.96934509,-121.5721741,2009-10-01,2019-09-30
BDL,BELDON LANDING,Suisun Marsh,38.1869,-121.9708,2009-10-01,2019-09-30
BDT,SAN JOAQUIN R AT BRANDT BRIDGE,South,37.865,-121.3231,2009-10-01,2019-09-30
BET,BETHEL ISLAND AT PIPER SLOUGH,Central,38.04109192,-121.6321869,2009-10-01,2019-09-30
BKS,BARKER SLOUGH PUMPING PLANT (KG000000),North Delta,38.2759,-121.7965,2009-10-02,2019-09-30
BLL,BLACKLOCK (NE1),Suisun Marsh,38.1801,-121.9069,2009-10-01,2018-09-30
BLP,SAN JOAQUIN RIVER AT BLIND POINT,Confluence,38.03245163,-121.7190399,2010-10-01,2019-09-30
CLC,CLIFTON COURT,Central,37.8298,-121.5574,2009-10-08,2019-09-30
CLL,COLLINSVILLE,Suisun Bay,38.073981,-121.850123,2009-10-01,2019-09-30
CSE,COLLINSVILLE ON SACRAMENTO RIVER,Suisun Bay,38.074,-121.8501,2009-10-01,2019-09-30
CYG,CYGNUS-CORDELIA SLOUGH,Suisun Marsh,38.1527,-122.0908,2010-10-01,2019-09-30
DGL,DOUGHTY CUT ABOVE GRANT LINE CANAL,South,37.815,-121.425,2009-10-01,2019-09-30
DLC,DELTA CROSS CHANNEL BTW SAC R & SNODGRAS,North Delta,38.245,-121.505,2010-10-01,2019-09-30
DSJ,DUTCH SLOUGH AT JERSEY ISLAND,Central,38.013,-121.671,2010-10-01,2019-09-30
DWS,SACRAMENTO DEEP WATER SHIPPING CHANNEL,North Delta,38.25611,-121.66667,2011-10-01,2019-09-30
EMM,EMMATON (USBR),Confluence,38.084272,-121.738924,2009-10-01,2019-09-30
FAL,FALSE RIVER NEAR OAKLEY,Confluence,38.0558,-121.6669,2009-10-06,2019-09-30
FRP,FARRAR PARK,Central,38.011698,-121.639129,2009-10-01,2019-09-30
GCT,GRANTLINE CANAL AT TRACY RD BRIDGE,South,37.82014465,-121.4498596,2009-10-01,2018-08-02
GES,SACRAMENTO RIVER BELOW GEORGIANA SLOUGH,North Delta,38.2389,-121.5234,2010-10-01,2019-09-30
GLC,GRANTLINE CANAL (USGS),South,37.8196,-121.5485,2009-10-01,2019-09-30
GSS,GEORGIANA SLOUGH AT SACRAMENTO RIVER,North Delta,38.237,-121.518,2010-10-01,2019-09-30
GYS,GOODYEAR SLOUGH,Suisun Marsh,38.118,-122.095,2009-10-01,2019-09-30
HLL,HOLLAND TRACT,Central,38.006986,-121.580617,2009-10-01,2019-09-30
HLT,MIDDLE RIVER NEAR HOLT,Central,38.0031,-121.5108,2009-10-01,2019-09-30
HOL,HOLLAND CUT NEAR BETHEL ISLAND,Central,38.0164,-121.5819,2009-10-01,2019-09-30
HUN,HUNTER CUT AT MONTEZUMA SLOUGH,Suisun Marsh,38.156,-122.0527,2010-10-01,2019-09-30
HWB,MINER SLOUGH AT HWY 84 BRIDGE,North Delta,38.2917,-121.6308,2010-10-01,2019-09-30
IBS,IBIS,Suisun Marsh,38.157,-122.113,2009-10-01,2019-09-30
JER,JERSEY POINT,Confluence,38.052155,-121.688971,2009-10-01,2019-09-30
LIS,YOLO BYPASS AT LISBON,North Delta,38.47478104,-121.5882263,2011-10-01,2019-09-30
LPS,LITTLE POTATO SLOUGH AT TERMINOUS,Confluence,38.0964,-121.4961,2010-10-01,2019-09-30
MAL,SACRAMENTO RIVER AT MALLARD ISLAND,Suisun Bay,38.04280472,-121.9200897,2009-10-01,2019-09-30
MDM,MIDDLE RIVER AT MIDDLE RIVER,Central,37.943,-121.534,2010-10-01,2019-09-30
MHO,MIDDLE RIVER NEAR HOWARD ROAD BRIDGE,South,37.876222,-121.383306,2010-10-26,2019-09-30
MOK,MOKELUMNE R @ SAN JOAQUIN RIVER,Confluence,38.1061,-121.5711,2009-10-01,2019-09-30
MRZ,MARTINEZ,Suisun Bay,38.02763748,-122.1404877,2009-10-01,2019-09-30
MSD,SAN JOAQUIN RIVER AT MOSSDALE BRIDGE,South,37.786,-121.306,2009-10-01,2019-09-30
MSL,MONTEZUMA SLOUGH AT ROARING R,Suisun Bay,38.0934,-121.88720000000001,2009-10-01,2019-09-30
MTB,MIDDLE RIVER AT TRACY BLVD,Central,37.881,-121.456,2009-10-01,2019-09-30
MUP,MIDDLE RIVER AT UNION POINT,Central,37.890778,-121.488361,2010-10-01,2018-08-14
NSL,NATIONAL STEEL,Suisun Marsh,38.1221,-121.8881,2009-10-01,2019-09-30
OBI,OLD RIVER AT BACON ISLAND (USGS),Central,37.96936798,-121.5722198,2009-10-01,2019-09-30
ODM,OLD RIVER AT DELTA MENDOTA CANAL,South,37.8102951,-121.5421448,2010-10-01,2019-09-30
OH4,OLD RIVER AT HIGHWAY 4,Central,37.891109,-121.569168,2010-10-01,2019-09-30
OLD,OLD RIVER NEAR TRACY,South,37.80480957,-121.4495621,2009-10-01,2019-09-30
ORI,OLD RIVER AT CLIFTON COURT INTAKE,Central,37.828,-121.5526,2011-10-01,2019-09-18
ORQ,OLD RIVER @ QUIMBLY IS NEAR BETHEL IS,Central,38.0272,-121.5645,2009-10-01,2019-09-30
OSJ,OLD RIVER AT FRANKS TRACT NEAR TERMINOUS,Confluence,38.0711,-121.5789,2009-10-01,2019-09-30
PCT,PORT CHICAGO,Suisun Bay,38.056788,-121.999971,2009-10-01,2019-09-30
PPT,PRISONERS POINT,Confluence,38.066,-121.562,2009-10-01,2019-09-30
PRI,SAN JOAQUIN R AT PRISONERS PT NR TERMINO,Confluence,38.0594,-121.5572,2009-10-01,2019-09-29
PTS,PITTSBURG,Suisun Bay,38.042975,-121.892482,2009-10-01,2019-09-30
RIV,RIO VISTA,Confluence,38.159203,-121.684543,2009-10-01,2019-09-30
RRI,ROUGH AND READY ISLAND,Central,37.963,-121.365,2009-10-01,2019-09-30
RVB,SACRAMENTO RIVER AT RIO VISTA BRIDGE,Confluence,38.159737,-121.686355,2009-10-01,2019-09-30
SAL,SAN ANDREAS LANDING,Confluence,38.103301,-121.591315,2009-10-01,2019-09-30
SDI,SACRAMENTO RIVER AT DECKER ISLAND,Confluence,38.0934,-121.736,2010-10-01,2019-09-30
SJG,SAN JOAQUIN RIVER AT GARWOOD BRIDGE,South,37.935,-121.329,2010-10-01,2019-09-30
SJL,SAN JOAQUIN R BLW OLD R NEAR LATHROP,South,37.8111496,-121.3240356,2009-10-01,2019-09-30
SJR,SAN JOAQUIN R MCCUNE STATION NR VERNALIS,South,37.67929,-121.26511,2009-10-01,2019-09-30
SNC,SUNRISE CLUB,Suisun Marsh,38.185,-122.083,2009-10-01,2019-09-30
SRH,SACRAMENTO RIVER AT HOOD,North Delta,38.36798096,-121.5199585,2009-10-01,2019-09-30
SRV,SACRAMENTO RIVER AT RIO VISTA (USGS),Confluence,38.16,-121.686,2010-10-01,2019-09-30
STI,STATEN ISLAND,Confluence,38.116919,-121.498851,2009-10-01,2019-09-30
TEA,TEAL CLUB AT FRANK HORAN SLOUGH,Suisun Marsh,38.1766,-122.0872,2010-10-01,2019-09-30
TMS,THREE MILE SLOUGH ,Confluence,38.106,-121.7,2009-10-01,2019-09-30
TRN,TURNER CUT NEAR HOLT,Central,37.9928,-121.4542,2009-11-01,2019-09-30
TSL,THREEMILE SLOUGH AT SAN JOAQUIN RIVER,Confluence,38.1033,-121.6861,2009-10-01,2019-09-30
UNI,UNION ISLAND,South,37.822101,-121.37499,2009-10-01,2019-09-30
VCU,VICTORIA CANAL NEAR BYRON,Central,37.8717,-121.5283,2009-10-06,2019-09-30
VIC,VICTORIA ISLAND,Central,37.890763,-121.488324,2009-10-01,2019-09-30
VOL,VOLANTI,Suisun Marsh,38.181,-122.046,2009-10-01,2019-09-30
